0ZNFoXjeI3yDbXI4THHbzl,First Finale,First Finale,rock,オメガトライブ,288667
2LPuAf3r9zGrHwoxksaRhJ,KIMI NO HEART WA MARINE BLUE,SINGLE'S HISTORY,rock,Kiyotaka Sugiyama,293560
3x2Vsy7q5bHgEPCbtPYKd8,FUTARI NO NATSU MONOGATARI -NEVER ENDING SUMMER-,SINGLE'S HISTORY,rock,Kiyotaka Sugiyama,238400
51Rzl0NM0JDcGa21IA8hDc,JOANNA,SINGLE'S HISTORY,rock,Kiyotaka Sugiyama,279427
36TvWO91cTW7IdDaKZtuCQ,SILENCE GA IPPAI,SINGLE'S HISTORY,rock,Kiyotaka Sugiyama,284400
0h5LK5DWEDQoTYemtRGMzA,ASPHALT LADY,SINGLE'S HISTORY,rock,Kiyotaka Sugiyama,239067
3JzfUGNaBr4KyZwadF2zBQ,AI O MAKIMODOSHITE,SINGLE'S HISTORY,rock,Kiyotaka Sugiyama,248333
0iF7lmuEm71kVoqELFUqtJ,Route 134,Another Summer,rock,オメガトライブ,326733
7ChIxgQeXA4jxAS0DE7b7o,Toi Hitomi,Another Summer,rock,オメガトライブ,279240
57K5A7o09IOVm4zeMXrARo,Mayonaka No Screen Board,Another Summer,rock,オメガトライブ,273933
70kYUoJbY7GMih4542i7mV,Ai No Shinkiro,Another Summer,rock,オメガトライブ,219733
0BnZQnXONdXE0YoAPtHcrt,The End of the River,Another Summer,rock,オメガトライブ,308533
1OTI9UsJFPUixcVr8r9uaG,Twilight Bay City,NEVER ENDING SUMMER,rock,オメガトライブ,251707
1Hfjy5mfIUsBLBBf4eqBnO,Riverside Hotel,NEVER ENDING SUMMER,rock,オメガトライブ,277360
